               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13892,            0.028158,            0.053277,          0.00069825,            0.079167,          0.00046064,          0.00014441,             0.12594,            0.021343,            0.049789,               0.091,               0.001,               0.001
                   1,             0.11807,            0.023149,            0.045572,           0.0017254,             0.32778,            0.020634,           0.0037141,             0.10626,            0.021479,            0.040077,            0.081093,           0.0020931,           0.0020931
                   2,             0.09938,            0.024396,            0.038227,             0.56487,             0.10304,            0.041236,            0.009086,            0.098498,             0.02088,            0.036926,            0.071179,           0.0031789,           0.0031789
                   3,            0.089321,            0.023046,            0.035592,             0.12427,             0.25278,             0.12156,            0.044133,            0.085679,            0.020092,            0.034977,            0.061257,           0.0042574,           0.0042574
                   4,            0.084872,            0.019881,            0.034527,             0.66718,             0.17023,             0.13001,            0.035443,            0.087317,            0.018486,            0.034161,            0.051329,           0.0053287,           0.0053287
                   5,            0.083863,            0.018457,            0.033673,             0.68491,             0.25972,             0.18743,            0.071987,            0.081744,            0.017883,             0.03315,            0.041393,           0.0063927,           0.0063927
                   6,            0.082945,            0.018875,             0.03286,             0.67572,             0.19306,             0.17417,            0.057368,            0.098916,            0.013658,            0.032177,             0.03145,           0.0074495,           0.0074495
                   7,            0.082584,            0.016695,            0.032954,             0.64201,             0.24202,             0.15302,            0.046632,             0.09122,            0.014025,            0.031574,            0.021499,            0.008499,            0.008499
                   8,            0.080861,            0.016656,            0.032068,             0.32266,             0.42845,              0.2452,             0.07323,             0.07811,            0.014758,            0.031132,            0.011541,           0.0095413,           0.0095413
                   9,            0.079041,            0.015163,            0.031652,             0.19918,             0.32448,             0.20898,            0.068213,            0.080414,            0.014974,             0.03112,            0.009703,            0.009703,            0.009703
                  10,            0.074678,            0.014632,            0.030945,             0.27812,             0.44453,             0.27334,            0.092674,            0.073572,            0.014151,            0.030773,            0.009703,            0.009703,            0.009703
                  11,            0.069821,            0.013606,            0.031505,             0.27251,              0.4232,             0.27586,             0.10664,            0.074923,            0.013971,            0.030235,             0.00967,             0.00967,             0.00967
                  12,            0.068277,             0.01272,            0.030153,              0.3393,             0.43566,             0.32262,             0.11183,            0.070779,            0.013168,            0.029713,            0.009637,            0.009637,            0.009637
                  13,            0.066875,            0.012956,             0.03006,             0.28271,              0.5105,             0.29643,             0.10462,            0.067788,            0.012978,            0.029259,            0.009604,            0.009604,            0.009604
                  14,            0.064967,            0.011646,            0.029355,             0.41393,             0.46225,             0.38094,              0.1663,            0.065006,            0.011555,            0.028606,            0.009571,            0.009571,            0.009571
                  15,            0.063007,             0.01192,            0.028983,             0.37147,             0.48488,             0.39357,             0.18098,            0.061471,            0.012382,            0.028061,            0.009538,            0.009538,            0.009538
                  16,            0.062062,            0.011691,            0.028312,             0.51452,             0.52587,             0.48436,             0.17936,            0.061362,             0.01234,            0.027107,            0.009505,            0.009505,            0.009505
                  17,            0.059505,            0.011541,            0.027167,             0.48483,             0.54566,             0.48046,             0.17412,            0.057948,            0.012211,            0.026077,            0.009472,            0.009472,            0.009472
                  18,            0.058252,            0.011117,             0.02625,             0.46254,             0.52678,             0.49133,             0.22664,            0.058495,            0.011218,            0.025133,            0.009439,            0.009439,            0.009439
                  19,            0.057254,            0.010597,            0.025824,             0.60419,             0.57737,             0.54496,             0.25865,             0.05541,            0.010889,             0.02416,            0.009406,            0.009406,            0.009406
                  20,             0.05787,            0.010757,            0.024787,             0.56773,             0.59499,             0.57431,             0.25436,            0.054267,            0.010603,            0.023491,            0.009373,            0.009373,            0.009373
                  21,            0.057461,            0.011054,            0.023068,             0.60289,             0.57424,             0.60678,             0.29289,            0.054163,            0.010668,            0.021677,             0.00934,             0.00934,             0.00934
                  22,            0.056484,            0.010654,            0.021336,             0.68929,             0.60644,             0.65754,             0.30352,            0.053254,            0.010769,            0.020351,            0.009307,            0.009307,            0.009307
                  23,            0.055397,            0.010748,            0.020335,             0.64878,             0.62248,             0.64129,             0.30136,            0.052156,            0.010709,             0.01812,            0.009274,            0.009274,            0.009274
                  24,            0.054274,            0.010657,            0.016803,             0.68175,             0.62123,             0.66012,             0.26841,            0.056995,            0.010557,            0.016033,            0.009241,            0.009241,            0.009241
                  25,            0.055605,             0.01092,            0.015341,             0.73177,              0.6311,             0.68643,             0.33569,            0.050362,            0.010555,            0.014257,            0.009208,            0.009208,            0.009208
