                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.144,                 4.2212,                0.96541,                 1.5106,                  9.022,                0.94691,                0.50944,                0.27957,                0.26509,                0.17047,                 1.0903,                 2.7741,                0.94852,                 1.4641,                 4.8228,                0.91485,             0.00023331,             0.00023331,             0.00023331
                      2,                 1.1892,                 1.8175,                0.95623,                 1.5352,                 3.0932,                 0.9211,                0.66517,                0.41461,                 0.5006,                0.28555,                 1.2679,                    2.9,                  1.036,                 1.6647,                 16.991,                 1.0036,             0.00047615,             0.00047615,             0.00047615
                      3,                 1.3319,                 1.4441,                 1.0336,                 1.6785,                 1.8944,                0.97443,                0.38314,                0.27455,                0.26628,                0.16644,                 1.4397,                 5.2344,                 1.3091,                 1.9279,                 3.2851,                 1.1474,             0.00071738,             0.00071738,             0.00071738
                      4,                 1.3921,                 1.2154,                   1.12,                 1.7833,                 1.6566,                 1.0492,                0.33282,                0.07635,                0.04237,                0.02486,                 2.3431,                 8.1846,                 2.1573,                 2.5937,                 152.04,                 1.7757,               0.000957,               0.000957,               0.000957
                      5,                 1.3791,                 1.3066,                 1.0461,                 1.7705,                   1.56,                0.98196,                0.00135,                0.00972,                0.00274,                0.00246,                 3.9962,                 707.86,                 14.797,                 4.0969,                 45.674,                  6.392,              0.0010963,              0.0010963,              0.0010963
                      6,                 1.3048,                 1.1294,                 1.0611,                 1.7418,                  1.504,                 1.0204,                0.48777,                0.29414,                 0.2748,                0.15416,                 1.4445,                 4.1753,                 1.2585,                 1.8546,                 2.5625,                 1.1465,              0.0010963,              0.0010963,              0.0010963
                      7,                 1.3083,                 1.0618,                 1.0633,                 1.7351,                 1.2657,                 1.0329,                0.73903,                  0.315,                0.34805,                 0.1796,                 1.6327,                 5.6065,                 1.2257,                 2.0787,                 4.3661,                 1.1635,              0.0010927,              0.0010927,              0.0010927
                      8,                 1.3232,                 1.1153,                0.99271,                 1.7484,                 1.2659,                0.95697,                0.52215,                 0.2284,                0.23937,                0.12244,                 1.9484,                 11.006,                 1.7327,                 2.3298,                 4.6817,                 1.3609,               0.001089,               0.001089,               0.001089
                      9,                 1.3815,                 1.0086,                 1.0577,                 1.7363,                 1.1945,                0.99943,                0.45338,                0.28052,                0.26595,                0.13171,                  1.963,                 6.6649,                 1.5313,                 2.3151,                 3.3235,                 1.3714,              0.0010853,              0.0010853,              0.0010853
                     10,                 1.3324,                 1.0169,                 1.0514,                 1.8002,                  1.261,                 1.0278,                0.74187,                0.46622,                0.51073,                0.28919,                 1.3824,                  1.203,                 1.1476,                 1.7636,                 1.3893,                   1.08,              0.0010817,              0.0010817,              0.0010817
