                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2088,                 9.5228,                0.96472,                 1.7923,                 33.618,                0.97512,                0.28673,                0.02083,                0.00878,                0.00745,                0.97432,                  6.517,                0.92271,                 1.5078,                  21.51,                0.92839,              0.0001111,              0.0001111,              0.0001111
                      2,                 1.1481,                 4.5013,                0.94793,                 1.5514,                   16.8,                0.94134,                0.52572,                0.33448,                0.30954,                0.19054,                0.98926,                 3.0004,                0.92438,                 1.2984,                 7.7007,                 0.8857,             0.00023254,             0.00023254,             0.00023254
                      3,                 1.1783,                 1.9902,                0.94027,                   1.57,                 5.0485,                0.91898,                0.40761,                0.47039,                0.36982,                0.22783,                 1.0724,                 2.2161,                 1.0075,                 1.4517,                 3.4089,                0.97816,             0.00035317,             0.00035317,             0.00035317
                      4,                 1.1496,                  1.448,                 1.0004,                 1.5428,                 2.5013,                0.94446,                  0.114,                0.36039,                0.03187,                0.01887,                 1.5997,                 170.54,                 1.7906,                 2.1323,                 507.71,                 1.6531,               0.000473,               0.000473,               0.000473
                      5,                   1.18,                 1.2271,                0.99995,                  1.577,                 1.7124,                0.95607,                  0.114,                0.36039,                0.03187,                0.01887,                 5.0809,                 1831.6,                 12.582,                 4.7013,                 7486.1,                 12.432,             0.00059202,             0.00059202,             0.00059202
                      6,                 1.1816,                 1.0091,                 1.0076,                 1.6146,                 1.4555,                 0.9588,                0.00106,                0.04976,                0.00063,                0.00045,                 2.7303,                 7.7209,                 3.1756,                 3.2855,                   6843,                 18.001,             0.00071023,             0.00071023,             0.00071023
                      7,                  1.142,                0.99724,                 1.0087,                 1.5837,                 1.3209,                0.98107,                0.23275,                0.19842,                0.10556,                0.06077,                 1.7334,                 1666.6,                 1.9363,                 2.4045,                 595.98,                 2.8986,             0.00082764,             0.00082764,             0.00082764
                      8,                 1.2207,                 1.0528,                 1.0009,                 1.6374,                    1.4,                0.97273,                0.39364,                0.50721,                0.34848,                0.19496,                  1.199,                 4.6164,                 1.1201,                 1.5633,                 84.573,                 1.0241,             0.00094424,             0.00094424,             0.00094424
                      9,                 1.1725,                  1.001,                  1.007,                 1.6017,                 1.2829,                0.97104,                  1e-05,                0.00556,                  1e-05,                      0,                 1.5456,                 71.757,                  1.804,                 2.0558,                  16735,                 2.1396,                0.00106,                0.00106,                0.00106
                     10,                 1.2173,                0.91808,                 1.0428,                 1.6447,                 1.0844,                0.98761,                0.48298,                 0.3037,                0.24049,                0.10592,                 1.5809,                 3.4335,                 1.3782,                 1.8733,                 58.692,                  1.184,               0.001078,               0.001078,               0.001078
                     11,                 1.2108,                0.90846,                 1.0412,                 1.6295,                 1.1435,                 0.9756,                0.41615,                0.14048,                0.11353,                0.06291,                 1.8534,                 195.02,                 3.5703,                 2.1092,                 128.16,                 1.5138,               0.001078,               0.001078,               0.001078
                     12,                 1.2196,                0.91984,                 1.0291,                 1.7079,                 1.2065,                0.97514,                0.34995,                0.36924,                0.23128,                0.08898,                 1.6408,                 18.304,                 1.4412,                 1.9455,                 6.7877,                 1.2329,              0.0010743,              0.0010743,              0.0010743
                     13,                 1.1803,                0.87318,                0.98486,                 1.6433,                 1.0637,                0.96156,                0.35545,                0.46377,                0.20758,                0.08278,                 1.4793,                 882.45,                 1.3542,                  1.789,                 225.39,                 1.2671,              0.0010707,              0.0010707,              0.0010707
